Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Manatee County Sheriff Department,FL,12,,1512.0,18,109.0,271,1114,8125.0,2010,5812.0,303.0,,,,,,,,,,manatee county,"manatee county,FL",05000US12081
Marion County Sheriff Department,FL,12,,1215.0,14,122.0,62,1017,3986.0,1293,2527.0,166.0,,,,,,,,,,marion county,"marion county,FL",05000US12083
Martin County Sheriff Department,FL,12,,339.0,4,31.0,78,226,2557.0,623,1825.0,109.0,,,,,,,,,,martin county,"martin county,FL",05000US12085
Miami Police Dept,FL,12,414327.0,4856.0,69,65.0,2096,2626,22271.0,4255,15305.0,2711.0,1172.0,16.7,15.7,505.9,633.8,5375.2,1027.0,3693.9,654.3,miami,"miami,FL",16000US1245025
Monroe County Sheriff Department,FL,12,,183.0,2,12.0,15,154,1770.0,344,1378.0,48.0,,,,,,,,,,monroe county,"monroe county,FL",05000US12087
Naples City Police Dept,FL,12,20211.0,32.0,0,1.0,5,26,537.0,96,431.0,10.0,158.3,0.0,4.9,24.7,128.6,2657.0,475.0,2132.5,49.5,naples city,"naples city,FL",16000US1247625
Nassau County Sheriff Department,FL,12,,80.0,1,0.0,13,66,1077.0,338,678.0,61.0,,,,,,,,,,nassau county,"nassau county,FL",05000US12089
North Miami Police Dept,FL,12,60964.0,521.0,3,21.0,214,283,2973.0,784,1890.0,299.0,854.6,4.9,34.4,351.0,464.2,4876.6,1286.0,3100.2,490.5,north miami,"north miami,FL",16000US1249475
Okaloosa County Sheriff Department,FL,12,,643.0,0,52.0,60,531,3062.0,577,2359.0,126.0,,,,,,,,,,okaloosa county,"okaloosa county,FL",05000US12091
Okeechobee County Sheriff Department,FL,12,,184.0,0,18.0,23,143,1081.0,518,525.0,38.0,,,,,,,,,,okeechobee county,"okeechobee county,FL",05000US12093
